"住所CD","都道府県CD","市区町村CD","町域CD","郵便番号","事業所フラグ","廃止フラグ","都道府県","都道府県カナ","市区町村","市区町村カナ","町域","町域カナ","町域補足","京都通り名","字丁目","字丁目カナ","補足","事業所名","事業所名カナ","事業所住所","新住所CD"
100000000,13,13101,131010000,"100-0000",0,0,"東京都","トウキョウト","千代田区","チヨダク",,"　","（該当なし）",,,,,,,,
102007200,13,13101,131010001,"102-0072",0,0,"東京都","トウキョウト","千代田区","チヨダク","飯田橋","イイダバシ",,,,,,,,,
102846100,13,13101,131010001,"102-8461",1,0,"東京都","トウキョウト","千代田区","チヨダク","飯田橋","イイダバシ",,,,,,"ＫＤＤＩ　株式会社","ケイデイ－デイ－アイ　カブシキガイシヤ","飯田橋３丁目１０－１０",
102846000,13,13101,131010001,"102-8460",1,0,"東京都","トウキョウト","千代田区","チヨダク","飯田橋","イイダバシ",,,,,,"ＫＤＤＩ　株式会社","ケイデイデイアイ　カブシキガイシヤ","飯田橋３丁目１０－１０",
102850800,13,13101,131010001,"102-8508",1,0,"東京都","トウキョウト","千代田区","チヨダク","飯田橋","イイダバシ",,,,,,"医療法人社団　こころとからだの元氣プラザ","イリヨウホウジンシヤダン　ココロトカラダノゲンキプラザ","飯田橋３丁目６番５号",
104866000,13,13101,131010001,"104-8660",1,0,"東京都","トウキョウト","千代田区","チヨダク","飯田橋","イイダバシ",,,,,,"東京アテナ　株式会社","トウキヨウアテナ　カブシキガイシヤ","飯田橋３丁目１１－２３",
102857300,13,13101,131010001,"102-8573",1,0,"東京都","トウキョウト","千代田区","チヨダク","飯田橋","イイダバシ",,,,,,"株式会社　大塚商会","カブシキガイシヤ　オオツカシヨウカイ","飯田橋２丁目１８－４",
102842400,13,13101,131010001,"102-8424",1,0,"東京都","トウキョウト","千代田区","チヨダク","飯田橋","イイダバシ",,,,,,"大日本商事　（株）","ダイニツポンシヨウジ　（カブ）","飯田橋２丁目１－１１",
102846200,13,13101,131010001,"102-8462",1,0,"東京都","トウキョウト","千代田区","チヨダク","飯田橋","イイダバシ",,,,,,"ＫＤＤＩ　株式会社","ケイデイデイアイ　カブシキガイシヤ","飯田橋３丁目１０－１０",
102811200,13,13101,131010001,"102-8112",1,0,"東京都","トウキョウト","千代田区","チヨダク","飯田橋","イイダバシ",,,,,,"大和ハウス工業　株式会社","ダイワハウスコウギヨウ　カブシキガイシヤ","飯田橋３丁目１３－１",
